SiteID,SiteName,SensorGroup,Backend,Access,Usr,Pwd,Latitude,Longitude,Owner,Contact,ProviderURL,Description,ServerName
OzNet_YA7a,Yanco A7a,OzNet,SenFedStore,Public,OzN,OzN,-34.73521,146.08197,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA7b,Yanco A7b,OzNet,SenFedStore,Public,OzN,OzN,-34.73784,146.09867,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA7d,Yanco A7d,OzNet,SenFedStore,Public,OzN,OzN,-34.7544,146.07777,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA7e,Yanco A7e,OzNet,SenFedStore,Public,OzN,OzN,-34.75073,146.09493,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA9,Yanco A9,OzNet,SenFedStore,Public,OzN,OzN,-34.74138,146.15364,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB1,Yanco B1,OzNet,SenFedStore,Public,OzN,OzN,-34.94124,146.27654,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB3,Yanco B3,OzNet,SenFedStore,Public,OzN,OzN,-34.9427,146.34015,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB5a,Yanco B5a,OzNet,SenFedStore,Public,OzN,OzN,-34.96527,146.30262,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB5b,Yanco B5b,OzNet,SenFedStore,Public,OzN,OzN,-34.96337,146.31843,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB5d,Yanco B5d,OzNet,SenFedStore,Public,OzN,OzN,-34.98483,146.29299,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB5e,Yanco B5e,OzNet,SenFedStore,Public,OzN,OzN,-34.97971,146.32052,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB7a,Yanco B7a,OzNet,SenFedStore,Public,OzN,OzN,-34.98846,146.26941,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB7c,Yanco B7c,OzNet,SenFedStore,Public,OzN,OzN,-34.99838,146.27852,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB7d,Yanco B7d,OzNet,SenFedStore,Public,OzN,OzN,-35.005,146.2685,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB7e,Yanco B7e,OzNet,SenFedStore,Public,OzN,OzN,-35.00773,146.28805,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YB9,Yanco B9,OzNet,SenFedStore,Public,OzN,OzN,-35.00217,146.33978,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
